n_neighbors,p,weights,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,n_jobs,Precedence
31.0,2.0,distance,0.999992,0.146819,0.024229,0.000834,0.278178,0.270601,,,,0.03,-1.0,0.0
100.0,2.0,distance,0.999992,0.062246,0.000422,0.000834,0.29164,0.273882,,,,0.01,-1.0,1.0
1.0,2.0,distance,0.999983,-0.361424,-0.70077,0.00118,0.351398,0.357255,,,,0.01,-1.0,2.0
21.0,2.0,uniform,0.112903,0.152151,0.052569,0.271883,0.277307,0.266643,,,,0.0,-1.0,3.0
66.0,1.0,distance,0.999992,0.096684,0.025875,0.000834,0.286234,0.270373,,,,0.01,-1.0,4.0
21.0,1.0,distance,0.999992,0.169434,0.092042,0.000834,0.274466,0.261029,,,,0.01,-1.0,5.0
51.0,1.0,uniform,0.050985,0.051724,0.023221,0.281211,0.293271,0.270741,,,,0.01,-1.0,6.0
100.0,1.0,uniform,0.012326,-0.005597,-0.006683,0.286882,0.302005,0.274854,,,,0.01,-1.0,7.0
41.0,2.0,distance,0.999992,0.113064,0.010553,0.000834,0.283627,0.272491,,,,0.01,-1.0,8.0
86.0,1.0,uniform,0.016035,0.00379,0.006109,0.286343,0.300592,0.273102,,,,0.01,-1.0,9.0
21.0,1.0,uniform,0.123188,0.116166,0.0392,0.270302,0.283131,0.268517,,,,0.01,-1.0,10.0
26.0,1.0,uniform,0.097779,0.098802,0.048273,0.274191,0.285899,0.267246,,,,0.04,-1.0,11.0
36.0,1.0,uniform,0.052003,0.106485,0.024783,0.28106,0.284677,0.270524,,,,0.07,-1.0,12.0
6.0,1.0,distance,0.999992,0.033363,0.063533,0.000834,0.296097,0.265095,,,,0.0,-1.0,13.0
46.0,2.0,distance,0.999992,0.108981,0.010073,0.000834,0.284279,0.272557,,,,0.01,-1.0,14.0
71.0,2.0,distance,0.999992,0.081516,0.022537,0.000834,0.288628,0.270836,,,,0.0,-1.0,15.0
71.0,2.0,uniform,0.034776,0.015608,-0.008317,0.283603,0.298804,0.275077,,,,0.0,-1.0,16.0
26.0,2.0,distance,0.999992,0.152382,0.058209,0.000834,0.27727,0.265848,,,,0.0,-1.0,17.0
41.0,2.0,uniform,0.055431,0.046944,-0.015715,0.280552,0.29401,0.276084,,,,0.01,-1.0,18.0
76.0,2.0,distance,0.999992,0.076931,0.017614,0.000834,0.289347,0.271517,,,,0.01,-1.0,19.0
61.0,1.0,uniform,0.044908,0.030951,-0.029559,0.28211,0.296466,0.277959,,,,0.01,-1.0,20.0
56.0,2.0,distance,0.999992,0.101691,0.032958,0.000834,0.28544,0.269388,,,,0.0,-1.0,21.0
61.0,2.0,uniform,0.032789,0.035757,-0.000597,0.283894,0.29573,0.274022,,,,0.0,-1.0,22.0
31.0,1.0,uniform,0.079404,0.112991,0.04629,0.276969,0.283639,0.267525,,,,0.0,-1.0,23.0
66.0,2.0,distance,0.999992,0.086412,0.023382,0.000834,0.287857,0.270719,,,,0.0,-1.0,24.0
41.0,1.0,uniform,0.044758,0.098525,0.037899,0.282132,0.285943,0.268699,,,,0.0,-1.0,25.0
11.0,1.0,distance,0.999992,0.127032,0.062038,0.000834,0.281385,0.265307,,,,0.01,-1.0,26.0
21.0,2.0,distance,0.999992,0.196354,0.066184,0.000834,0.269982,0.26472,,,,0.0,-1.0,27.0
96.0,2.0,distance,0.999992,0.054665,0.007225,0.000834,0.292816,0.272949,,,,0.01,-1.0,28.0
61.0,1.0,distance,0.999992,0.095279,0.019409,0.000834,0.286457,0.271269,,,,0.01,-1.0,29.0
16.0,2.0,uniform,0.141259,0.156199,0.032862,0.267502,0.276645,0.269402,,,,0.0,-1.0,30.0
81.0,2.0,distance,0.999992,0.076178,0.00499,0.000834,0.289465,0.273256,,,,0.0,-1.0,31.0
6.0,2.0,distance,0.999992,0.192417,-0.080745,0.000834,0.270642,0.284785,,,,0.01,-1.0,32.0
86.0,1.0,distance,0.999992,0.071013,0.040434,0.000834,0.290273,0.268345,,,,0.01,-1.0,33.0
11.0,2.0,uniform,0.178735,0.115759,-0.03585,0.2616,0.283196,0.278807,,,,0.01,-1.0,34.0
36.0,1.0,distance,0.999992,0.168374,0.068611,0.000834,0.274641,0.264376,,,,0.01,-1.0,35.0
66.0,1.0,uniform,0.033923,0.032538,-0.019332,0.283728,0.296223,0.276576,,,,0.01,-1.0,36.0
56.0,1.0,uniform,0.054074,0.065655,0.00336,0.280753,0.291109,0.27348,,,,0.01,-1.0,37.0
66.0,2.0,uniform,0.032129,0.021249,-0.005439,0.283991,0.297946,0.274684,,,,0.01,-1.0,38.0
76.0,2.0,uniform,0.026885,0.007327,-0.013387,0.28476,0.300058,0.275768,,,,0.01,-1.0,39.0
16.0,1.0,uniform,0.15999,0.09289,-0.010557,0.264569,0.286835,0.275382,,,,0.0,-1.0,40.0
51.0,1.0,distance,0.999992,0.12146,0.068857,0.000834,0.282282,0.264341,,,,0.0,-1.0,41.0
61.0,2.0,distance,0.999992,0.09519,0.029737,0.000834,0.286471,0.269836,,,,0.0,-1.0,42.0
11.0,1.0,uniform,0.232725,0.073532,-0.000537,0.252855,0.289879,0.274014,,,,0.01,-1.0,43.0
1.0,1.0,uniform,0.999983,-0.043579,-0.555372,0.00118,0.307656,0.341643,,,,0.0,-1.0,44.0
91.0,1.0,uniform,0.009726,0.006193,-0.001439,0.287259,0.300229,0.274137,,,,0.05,-1.0,45.0
36.0,2.0,distance,0.999992,0.124924,0.021626,0.000834,0.281725,0.270962,,,,0.0,-1.0,46.0
46.0,1.0,uniform,0.048754,0.079507,0.030411,0.281542,0.288943,0.269743,,,,0.0,-1.0,47.0
81.0,1.0,uniform,0.022068,0.01164,0.015496,0.285463,0.299405,0.271809,,,,0.06,-1.0,48.0
46.0,1.0,distance,0.999992,0.14552,0.072096,0.000834,0.27839,0.263881,,,,0.01,-1.0,49.0
76.0,1.0,uniform,0.021718,0.018795,0.009588,0.285514,0.29832,0.272624,,,,0.0,-1.0,50.0
100.0,1.0,distance,0.999992,0.060527,0.026357,0.000834,0.291907,0.270306,,,,0.0,-1.0,51.0
46.0,2.0,uniform,0.042527,0.047775,-0.021567,0.282462,0.293881,0.276879,,,,0.01,-1.0,52.0
26.0,2.0,uniform,0.091993,0.088365,0.03774,0.275068,0.287549,0.268721,,,,0.01,-1.0,53.0
26.0,1.0,distance,0.999992,0.164299,0.088334,0.000834,0.275314,0.261561,,,,0.01,-1.0,54.0
96.0,1.0,uniform,0.010279,0.00414,-0.014529,0.287179,0.300539,0.275923,,,,0.01,-1.0,55.0
51.0,2.0,uniform,0.035131,0.054366,0.00085,0.28355,0.292862,0.273824,,,,0.01,-1.0,56.0
91.0,2.0,distance,0.999992,0.052953,0.017718,0.000834,0.293081,0.271503,,,,0.01,-1.0,57.0
56.0,1.0,distance,0.999992,0.132338,0.047391,0.000834,0.280529,0.26737,,,,0.0,-1.0,58.0
31.0,2.0,uniform,0.069447,0.079018,-0.004493,0.278462,0.28902,0.274555,,,,0.01,-1.0,59.0
86.0,2.0,distance,0.999992,0.065627,0.014917,0.000834,0.291113,0.271889,,,,0.01,-1.0,60.0
41.0,1.0,distance,0.999992,0.164161,0.078402,0.000834,0.275336,0.262982,,,,0.0,-1.0,61.0
86.0,2.0,uniform,0.017515,-0.005087,-0.016424,0.286127,0.301928,0.276181,,,,0.01,-1.0,62.0
6.0,1.0,uniform,0.28641,-0.041795,0.039603,0.243849,0.307392,0.268461,,,,0.01,-1.0,63.0
16.0,1.0,distance,0.999992,0.144546,0.042442,0.000834,0.278548,0.268064,,,,0.0,-1.0,64.0
1.0,1.0,distance,0.999983,-0.043579,-0.555372,0.00118,0.307656,0.341643,,,,0.01,-1.0,65.0
91.0,2.0,uniform,0.016268,-0.020595,-0.012979,0.286309,0.304249,0.275712,,,,0.01,-1.0,66.0
100.0,2.0,uniform,0.019203,-0.010252,-0.028007,0.285881,0.302703,0.27775,,,,0.01,-1.0,67.0
71.0,1.0,distance,0.999992,0.082048,0.037003,0.000834,0.288544,0.268824,,,,0.01,-1.0,68.0
81.0,2.0,uniform,0.01807,0.008362,-0.026516,0.286046,0.299902,0.277548,,,,0.01,-1.0,69.0
31.0,1.0,distance,0.999992,0.179614,0.088045,0.000834,0.272779,0.261603,,,,0.0,-1.0,70.0
96.0,1.0,distance,0.999992,0.067187,0.019964,0.000834,0.29087,0.271192,,,,0.0,-1.0,71.0
6.0,2.0,uniform,0.324862,0.147157,-0.104694,0.237188,0.278123,0.287923,,,,0.0,-1.0,72.0
76.0,1.0,distance,0.999992,0.083862,0.046365,0.000834,0.288259,0.267514,,,,0.0,-1.0,73.0
36.0,2.0,uniform,0.068643,0.057979,-0.005586,0.278583,0.292302,0.274704,,,,0.01,-1.0,74.0
96.0,2.0,uniform,0.017335,-0.019009,-0.021783,0.286153,0.304012,0.276908,,,,0.01,-1.0,75.0
16.0,2.0,distance,0.999992,0.186443,0.060892,0.000834,0.271642,0.265469,,,,0.01,-1.0,76.0
71.0,1.0,uniform,0.021989,0.018109,-0.002471,0.285475,0.298424,0.274278,,,,0.01,-1.0,77.0
11.0,2.0,distance,0.999992,0.159699,0.011899,0.000834,0.27607,0.272306,,,,0.01,-1.0,78.0
1.0,2.0,uniform,0.999983,-0.361424,-0.70077,0.00118,0.351398,0.357255,,,,0.0,-1.0,79.0
91.0,1.0,distance,0.999992,0.069849,0.03217,0.000834,0.290455,0.269498,,,,0.01,-1.0,80.0
51.0,2.0,distance,0.999992,0.114031,0.024028,0.000834,0.283473,0.270629,,,,0.0,-1.0,81.0
56.0,2.0,uniform,0.036076,0.038128,0.006233,0.283412,0.295366,0.273085,,,,0.01,-1.0,82.0
81.0,1.0,distance,0.999992,0.077438,0.052066,0.000834,0.289268,0.266713,,,,0.01,-1.0,83.0
50.0,2.0,uniform,0.035806,0.054644,0.000543,0.283451,0.292819,0.273866,,,,0.01,-1.0,84.0
52.0,2.0,uniform,0.034174,0.056936,1.9e-05,0.283691,0.292464,0.273938,,,,0.0,-1.0,85.0
49.0,2.0,uniform,0.033426,0.051964,-0.004308,0.283801,0.293234,0.27453,,,,0.01,-1.0,86.0
50.0,1.0,uniform,0.051278,0.057522,0.019799,0.281168,0.292373,0.271215,,,,0.0,-1.0,87.0
50.0,2.0,distance,0.999992,0.114339,0.025594,0.000834,0.283423,0.270412,,,,0.01,-1.0,88.0
53.0,2.0,uniform,0.037722,0.049834,0.001233,0.283169,0.293563,0.273771,,,,0.0,-1.0,89.0
52.0,1.0,uniform,0.051972,0.049539,0.019079,0.281065,0.293609,0.271314,,,,0.01,-1.0,90.0
52.0,2.0,distance,0.999992,0.117441,0.02245,0.000834,0.282927,0.270848,,,,0.0,-1.0,91.0
20.0,2.0,distance,0.999992,0.210755,0.052826,0.000834,0.267552,0.266607,,,,0.0,-1.0,92.0
22.0,2.0,distance,0.999992,0.190207,0.049707,0.000834,0.271012,0.267045,,,,0.0,-1.0,93.0
19.0,2.0,distance,0.999992,0.203574,0.04261,0.000834,0.268766,0.26804,,,,0.01,-1.0,94.0
20.0,1.0,distance,0.999992,0.161351,0.08939,0.000834,0.275799,0.26141,,,,0.0,-1.0,95.0
20.0,2.0,uniform,0.114873,0.172736,0.036273,0.271581,0.27392,0.268926,,,,0.01,-1.0,96.0
5.0,2.0,distance,0.999992,0.065703,-0.076133,0.000834,0.291102,0.284177,,,,0.02,-1.0,97.0
7.0,2.0,distance,0.999992,0.249388,-0.086081,0.000834,0.260921,0.285487,,,,0.01,-1.0,98.0
8.0,2.0,distance,0.999992,0.199735,-0.055272,0.000834,0.269413,0.281409,,,,0.01,-1.0,99.0
7.0,1.0,distance,0.999992,0.072369,0.116054,0.000834,0.290061,0.257554,,,,0.0,-1.0,100.0
7.0,2.0,uniform,0.309286,0.209878,-0.121652,0.239908,0.267701,0.290125,,,,0.0,-1.0,101.0
30.0,1.0,distance,0.999992,0.178748,0.084195,0.000834,0.272923,0.262155,,,,0.0,-1.0,102.0
32.0,1.0,distance,0.999992,0.181704,0.101694,0.000834,0.272432,0.259638,,,,0.01,-1.0,103.0
29.0,1.0,distance,0.999992,0.176613,0.067707,0.000834,0.273278,0.264504,,,,0.0,-1.0,104.0
30.0,2.0,distance,0.999992,0.133155,0.033806,0.000834,0.280397,0.26927,,,,0.01,-1.0,105.0
30.0,1.0,uniform,0.08323,0.109871,0.042523,0.276393,0.284137,0.268053,,,,0.01,-1.0,106.0
33.0,1.0,distance,0.999992,0.175346,0.094135,0.000834,0.273488,0.260728,,,,0.03,-1.0,107.0
32.0,2.0,distance,0.999992,0.133454,0.022003,0.000834,0.280348,0.27091,,,,0.01,-1.0,108.0
32.0,1.0,uniform,0.074806,0.117974,0.060198,0.27766,0.282841,0.265567,,,,0.0,-1.0,109.0
25.0,1.0,distance,0.999992,0.157149,0.085269,0.000834,0.276489,0.262001,,,,0.01,-1.0,110.0
27.0,1.0,distance,0.999992,0.160005,0.08761,0.000834,0.27602,0.261665,,,,0.01,-1.0,111.0
28.0,1.0,distance,0.999992,0.166203,0.090201,0.000834,0.275,0.261294,,,,0.01,-1.0,112.0
27.0,2.0,distance,0.999992,0.142184,0.060202,0.000834,0.278933,0.265566,,,,0.01,-1.0,113.0
27.0,1.0,uniform,0.098619,0.098511,0.046938,0.274063,0.285945,0.267434,,,,0.05,-1.0,114.0
25.0,2.0,distance,0.999992,0.161176,0.055523,0.000834,0.275827,0.266227,,,,0.01,-1.0,115.0
24.0,2.0,distance,0.999992,0.158978,0.057195,0.000834,0.276189,0.265991,,,,0.0,-1.0,116.0
25.0,2.0,uniform,0.096587,0.098475,0.038475,0.274372,0.285951,0.268619,,,,0.0,-1.0,117.0
22.0,1.0,distance,0.999992,0.163871,0.08217,0.000834,0.275384,0.262444,,,,0.01,-1.0,118.0
22.0,2.0,uniform,0.112022,0.146099,0.030997,0.272018,0.278295,0.269661,,,,0.01,-1.0,119.0
19.0,2.0,uniform,0.125164,0.167092,0.023279,0.269997,0.274853,0.270733,,,,0.0,-1.0,120.0
20.0,1.0,uniform,0.137539,0.106404,0.031773,0.268081,0.28469,0.269553,,,,0.01,-1.0,121.0
15.0,1.0,distance,0.999992,0.131219,0.025996,0.000834,0.28071,0.270356,,,,0.01,-1.0,122.0
17.0,1.0,distance,0.999992,0.16906,0.056632,0.000834,0.274528,0.26607,,,,0.0,-1.0,123.0
18.0,1.0,distance,0.999992,0.164257,0.056721,0.000834,0.27532,0.266058,,,,0.0,-1.0,124.0
17.0,2.0,distance,0.999992,0.206536,0.073125,0.000834,0.268266,0.263734,,,,0.01,-1.0,125.0
17.0,1.0,uniform,0.164664,0.122092,0.010281,0.263832,0.28218,0.272528,,,,0.01,-1.0,126.0
15.0,2.0,distance,0.999992,0.185614,0.032764,0.000834,0.27178,0.269415,,,,0.02,-1.0,127.0
15.0,2.0,uniform,0.163858,0.156525,0.001287,0.263959,0.276591,0.273764,,,,0.01,-1.0,128.0
17.0,2.0,uniform,0.128782,0.181216,0.052839,0.269438,0.272513,0.266605,,,,0.01,-1.0,129.0
14.0,2.0,uniform,0.167893,0.148346,-0.034518,0.263321,0.277929,0.278628,,,,0.01,-1.0,130.0
15.0,1.0,uniform,0.145622,0.084288,-0.033984,0.266822,0.288192,0.278556,,,,0.01,-1.0,131.0
18.0,2.0,uniform,0.131402,0.185553,0.020984,0.269033,0.27179,0.271051,,,,0.01,-1.0,132.0
10.0,2.0,distance,0.999992,0.172696,-0.039576,0.000834,0.273927,0.279308,,,,0.01,-1.0,133.0
12.0,2.0,distance,0.999992,0.175405,0.032021,0.000834,0.273478,0.269519,,,,0.01,-1.0,134.0
9.0,2.0,distance,0.999992,0.190996,-0.089378,0.000834,0.27088,0.28592,,,,0.01,-1.0,135.0
10.0,1.0,distance,0.999992,0.10453,0.076675,0.000834,0.284989,0.263229,,,,0.01,-1.0,136.0
10.0,2.0,uniform,0.207896,0.125872,-0.103862,0.256914,0.281572,0.287815,,,,0.0,-1.0,137.0
13.0,2.0,distance,0.999992,0.197339,0.032355,0.000834,0.269816,0.269472,,,,0.0,-1.0,138.0
12.0,1.0,distance,0.999992,0.137891,0.041923,0.000834,0.27963,0.268137,,,,0.0,-1.0,139.0
12.0,2.0,uniform,0.172615,0.13481,-0.010971,0.262573,0.280129,0.275439,,,,0.01,-1.0,140.0
